https://syrianarchive.org/database/26841,ALEPPO : Bab Road,None,None,23/09/2016,Use of illegal weapons,"Incendiary Weapons, ZAB-2.5S",Damages caused by Shelling with incendiary weapons targeting Al-Bab neighborhood in Aleppo.
https://syrianarchive.org/database/28499,ALEPPO : Karam al-Qaterji,None,None,23/09/2016,Other,None,Casualties four civilians were wounded by the regime airstrikes in Alqatrgi neighborhood _ Aleppo.
https://syrianarchive.org/database/26632,ALEPPO : Mashhad,None,None,23/09/2016,Other,None,Damages by massive Russain airstrikes in Al Mashhad neighborhood.
https://syrianarchive.org/database/28506,ALEPPO : Bab Road,None,None,23/09/2016,Alleged civilian casualties from Russian attacks,None,Casualties two people caused by a raid with stereochemistry missils targeting al-Bab neighborhood in Aleppo.
https://syrianarchive.org/database/26546,ALEPPO : Ansari,None,None,23/09/2016,Unlawful attacks,None,Civil Defense Center in Al Ansari
https://syrianarchive.org/database/26630,ALEPPO : Anjara,None,None,23/09/2016,Other,None,Damages caused by airstrikes targated Al Huteh town.
https://syrianarchive.org/database/26946,ALEPPO : Urum al-Kubra,None,None,23/09/2016,Specifically protected persons and objects,None,"&quot;Aleppo_Urum al-Kubra: Burned-out  humanitarian aid convoy caused by the Russian and the Regime attacks.
&quot;"
https://syrianarchive.org/database/27197,ALEPPO : Khan al-Asl,None,None,22/09/2016,Use of illegal weapons,"Cluster Munition, ShOAB-0.5",Shelling with cluster bombs targeting Khan Al-Asal in the western countryside of Aleppo.
https://syrianarchive.org/database/27196,ALEPPO : Rashiddin,None,None,22/09/2016,Use of illegal weapons,None,shelling with white phosphorus on Rashedin neighborhood western of Aleppo.
https://syrianarchive.org/database/27194,IDLIB : Marateh,None,None,22/09/2016,Other,None,Russain airstrikes targeting Maratah town in the southern countryside of Aleppo.
https://syrianarchive.org/database/27193,ALEPPO : Rashiddin,None,None,22/09/2016,Other,None,Damages by Russain airstrikes in Al Rashedin neighborhood in the western countrysid of Aleppo.
https://syrianarchive.org/database/28494,ALEPPO : Azaz,None,None,22/09/2016,Other,None,"Casualties two were killed, two wounded in a car explosion in Shamarikh town"
https://syrianarchive.org/database/26545,ALEPPO : Sukkari,None,None,22/09/2016,Other,None,Aleppo.
https://syrianarchive.org/database/26544,ALEPPO : Kalaseh,None,None,22/09/2016,Other,Barrel Bomb,The civil defense team is extinguishing fires as a result of barrel bombs attacks
https://syrianarchive.org/database/27951,ALEPPO : Sukkari,None,None,22/09/2016,Other,None,launching explosive barrels on Al Sukkari neighborhood_Aleppo.
https://syrianarchive.org/database/26627,ALEPPO : Urum al-Kubra,None,None,22/09/2016,Specifically protected persons and objects,None,Exclusive Scenes_The warplanes and helicopters targeting a convoy of  Red Crescent.
https://syrianarchive.org/database/28485,ALEPPO : Ansari,None,None,22/09/2016,Other,None,Casualties three were killd by warplanes targeting Al Ansari Sharki with explosive barrels.
https://syrianarchive.org/database/27956,ALEPPO : Urum al-Kubra,None,None,22/09/2016,Specifically protected persons and objects,None,Damages caused by Russain airstrikes targeting Aid convoys heading to Aleppo.
https://syrianarchive.org/database/26276,ALEPPO : Urum al-Kubra,None,None,22/09/2016,Specifically protected persons and objects,None,Civil Defense confirms identity of who was behind the destruction of the United Nations relief convoy _Aleppo countryside.
https://syrianarchive.org/database/27195,ALEPPO : Zahret Al Mada&#39;en,None,None,22/09/2016,Unlawful attacks,None,Airstrikes by warplanes targated Zahrat Al madaan Association in the western countryside of Aleppo.
https://syrianarchive.org/database/26628,ALEPPO : Kafar Dael,None,None,22/09/2016,Other,None,Targeting the town of  Kfar Da&#39;el with phosphorus missiles.
https://syrianarchive.org/database/28741,ALEPPO,None,None,22/09/2016,Alleged civilian casualties from Russian attacks,None,Russain and Syrian airstrikes targeting Aleppo&#39;s neighborhoods.
https://syrianarchive.org/database/26504,ALEPPO : Bustan al-Qasr,None,None,21/09/2016,Use of illegal weapons,None,Airstrikes targeted Bustan al-Qasr neighborhood with phosphorus bombs....
https://syrianarchive.org/database/26829,ALEPPO,None,None,21/09/2016,Use of illegal weapons,Incendiary Weapons,Warplanes targeted under siege neighborhoods in Aleppo with incendiary bombs.
https://syrianarchive.org/database/26505,ALEPPO : Karam al-Qaterji,None,None,21/09/2016,Other,None,Damages in Alqatari neighborhood caused by stereochemistry missile.
https://syrianarchive.org/database/27189,ALEPPO : Mashhad,None,None,21/09/2016,Other,None,Shelling with explosive barrels in Al Mashhad neighborhood-Aleppo.
https://syrianarchive.org/database/26503,ALEPPO,None,None,21/09/2016,Use of illegal weapons,None,Warplanes targeting with white phosphorus besieged neighborhoods in Aleppo.
https://syrianarchive.org/database/27332,ALEPPO : Mouasalat,None,None,21/09/2016,Unlawful attacks,None,Destruction after Al-Assad&#39;s forces targeted Aleppo city
https://syrianarchive.org/database/27186,ALEPPO : Mashhad,None,None,21/09/2016,Other,None,Shelling with explosive barrels in Al-Mashhad neighborhood in Aleppo.
https://syrianarchive.org/database/28478,ALEPPO : Mouasalat,None,None,21/09/2016,Unlawful attacks,None,Airstrike on Almuasalat neighborhood in Aleppo
https://syrianarchive.org/database/26625,ALEPPO : Sukkari,None,None,21/09/2016,Other,None,Damages caused by shelling barrels and explosive stereochemistry missiles in Sukkari neighborhood.
https://syrianarchive.org/database/26828,ALEPPO : Mouasalat,None,None,21/09/2016,Unlawful attacks,None,Casualties 5 civilians and 6 are injured by airstrikes in Aleppo city
https://syrianarchive.org/database/27580,ALEPPO,None,None,21/09/2016,Unlawful attacks,None,Casualties and wounded caused by airstrikes targeted Aleppo neighborhoods.
https://syrianarchive.org/database/26830,ALEPPO : Karam al-Qaterji,None,None,21/09/2016,Unlawful attacks,None,Rescue teams recovered a young man alive after an airstrike targeted Al Qaterji neighborhood_eastern Aleppo.
https://syrianarchive.org/database/26831,ALEPPO : Karam al-Qaterji,None,None,21/09/2016,Unlawful attacks,None,Casualties 5 civilians caused by aistrikes targeted Al Qaterji neighborhood.
https://syrianarchive.org/database/28484,ALEPPO : Karam al-Qaterji,None,None,21/09/2016,Unlawful attacks,None,Casualties two kids and a man caused by explosive barrels in Alqatari neighborhood_Aleppo.
https://syrianarchive.org/database/26834,ALEPPO : Karam al-Qaterji,None,None,21/09/2016,Unlawful attacks,None,Casualties 3 civilians and others are trapped under the rubble caused by an airstrike on Alqatrgi neighborhood.
https://syrianarchive.org/database/27331,ALEPPO : Al atarib,None,None,21/09/2016,Other,None,Damages caused by airstrikes targated Atarib town_Aleppo western countryside.
https://syrianarchive.org/database/27187,ALEPPO : Aleppo damascus International road,None,None,21/09/2016,Unlawful attacks,None,"Damages of civilian homes in Damascus, Aleppo international highway in the western countryside of Aleppo."
https://syrianarchive.org/database/27188,ALEPPO,None,None,21/09/2016,Specifically protected persons and objects,None,Damages caused by targeting Ambulance and emergency medical system by Russian airstrikes in the southern countryside of Aleppo.
https://syrianarchive.org/database/26832,ALEPPO : Sakhour,None,None,21/09/2016,Other,None,Casualties 3 civilians caused by launching explosive barrel on AL Sakhour neighborhood.
https://syrianarchive.org/database/27190,ALEPPO : Al atarib,None,None,21/09/2016,Other,None,"&quot;Damages caused by airstrikes in Atarib town_Aleppo countryside.
&quot;"
https://syrianarchive.org/database/26833,ALEPPO : Al atarib,None,None,21/09/2016,Other,None,"&quot;Casualties 2 civilians caused by two airstrikes in Atarib town.
 &quot;"
https://syrianarchive.org/database/26626,ALEPPO : Mashhad,None,None,21/09/2016,Other,None,Damages caused by launching berrles in Mashhad neighborhood.
https://syrianarchive.org/database/26543,ALEPPO : Mashhad,None,None,21/09/2016,Unlawful attacks,None,Airstrikes targeted Al Mashhad neighborhood.
https://syrianarchive.org/database/28709,ALEPPO,None,None,21/09/2016,Unlawful attacks,None,"&quot;Ahmed,&quot; survives after the Russian raids killed his entire family."
https://syrianarchive.org/database/27936,ALEPPO : Marjeh,None,None,21/09/2016,Other,None,Devastation caused by massive shelling on Al Marjah neighborhood.
https://syrianarchive.org/database/28701,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,Casualties 15 were killed including a whole family in Hur town in the western countryside of Aleppo.
https://syrianarchive.org/database/26620,ALEPPO : Balleramoun,None,None,20/09/2016,Other,None,Shelling with rocket launchers on Balleramoun town.
https://syrianarchive.org/database/27319,ALEPPO : Salah al-Din,None,None,20/09/2016,Other,None,Destruction caused by aerial bombing in Salah al-Din neighborhood.
https://syrianarchive.org/database/26825,ALEPPO,None,None,20/09/2016,Unlawful attacks,None,Casualties 50 civilians by al-Assad and Russian aircrafts before terminating truce in Aleppo.
https://syrianarchive.org/database/26827,ALEPPO : Ansari,None,None,20/09/2016,Unlawful attacks,None,Five casualties by airstrikes in Al Ansari sharki -Aleppo
https://syrianarchive.org/database/26826,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,The regime aircraft targeted consignment of  UN aid for the Syrian Red Crescent in the western countryside of Aleppo.
https://syrianarchive.org/database/28469,ALEPPO : Salah al-Din,None,None,20/09/2016,Other,None,The Regime aviation launching two explosive barrels on Salah al-Din neighborhood in Aleppo.
https://syrianarchive.org/database/26622,ALEPPO : Ansari,None,None,20/09/2016,Other,None,Damages caused by airstrikes in Al Ansari Sharki neighborhood.
https://syrianarchive.org/database/26811,ALEPPO,None,None,20/09/2016,Specifically protected persons and objects,None,Targeting a humanitarian aid convoy by the Russian aggression and Assad&#39;s forces in Aleppo countryside.
https://syrianarchive.org/database/26813,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,Russian aircraft committed a massacre in Hur town in the Western countryside of Aleppo.
https://syrianarchive.org/database/28470,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,Russian aircraft committed a massacre caused by shelling on Hur town western countryside of Aleppo.
https://syrianarchive.org/database/26624,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,a report about Howar massacre in western Aleppo countryside
https://syrianarchive.org/database/28697,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Casualties more than 12 component of the Syrian Red Crescent were killed in several air raids.
https://syrianarchive.org/database/26812,ALEPPO : Urum al-Kubra,36.151583,36.967750,20/09/2016,Specifically protected persons and objects,None,Russian raid destroyed a humanitarian aid convoy in Urum al-Kubra Aleppo countryside.
https://syrianarchive.org/database/27935,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,The Destruction caused by the bombing by the Russian and Syrian Aviation targeting the Red Crescent in Urum al-Kubra town in Aleppo countryside.
https://syrianarchive.org/database/28692,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Airstrikes targeting Red Crescent cars in Aleppo countryside.
https://syrianarchive.org/database/27324,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Massacre committed by The Regime forces targeting the Red Crescent in the western countryside of Aleppo.
https://syrianarchive.org/database/26814,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Russian raid destroyed a humanitarian aid convoy in Urum al-Kubra Aleppo countryside.
https://syrianarchive.org/database/27178,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,Damages caused by Russian shelling targeting Hur town in the western countryside of Aleppo.
https://syrianarchive.org/database/26540,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Russian aviation targeting the Red Crescent in Urum al-Kubra.
https://syrianarchive.org/database/27183,ALEPPO : Urum al-Kubra,None,None,20/09/2016,Specifically protected persons and objects,None,Damages caused by Russain shelling targeting Syrian Red Crescent convoy in Urum al-Kubra town in Aleppo countryside.
https://syrianarchive.org/database/28475,ALEPPO : Urum al-Kubra,36.151583,36.967750,20/09/2016,Specifically protected persons and objects,None,12 casualties as a result of airstrikes that targeted a humanitarian aid convoy for SARC in Aleppo countryside
https://syrianarchive.org/database/27569,ALEPPO : Sakhour,None,None,20/09/2016,Unlawful attacks,None,"New violations of the truce by targeting Karm Al Jabal, Hellok, Al Sakhour neighborhoods with airstrikes."
https://syrianarchive.org/database/26621,ALEPPO : Hawwar,None,None,20/09/2016,Other,None,Damages caused by airstrikes in Hur town.
https://syrianarchive.org/database/26296,ALEPPO,None,None,20/09/2016,Unlawful attacks,None,"Centre of the Syrian Red Crescent,which has been targeted many times by airstrikes."
https://syrianarchive.org/database/26539,ALEPPO : Urum al-Kubra,36.151583,36.967750,19/09/2016,Specifically protected persons and objects,None,Syrian Red Crescent Aid convoy attack in Aleppo countryside
https://syrianarchive.org/database/26824,ALEPPO,None,None,19/09/2016,Unlawful attacks,None,Wounded by intense aerial bombardment on the Aleppo after the truce ends.
https://syrianarchive.org/database/45718,ALEPPO : Urum al-Kubra,36.151583,36.967750,19/09/2016,Specifically protected persons and objects,None,Damage in SARC convoy trucks as a result of alleged Russian and Syrian airstrikes
https://syrianarchive.org/database/45717,ALEPPO : Urum al-Kubra,36.151583,36.967750,19/09/2016,Specifically protected persons and objects,None,The moment of targeting the SARC humanitarian aid convoy by an alleged Russian and Syrian airstrikes
https://syrianarchive.org/database/45716,ALEPPO : Urum al-Kubra,36.151583,36.967750,19/09/2016,Specifically protected persons and objects,None,Destruction in the SARC warehouse as a result of alleges Russian airstrikes
https://syrianarchive.org/database/26542,ALEPPO : Urum al-Kubra,36.151583,36.967750,19/09/2016,Specifically protected persons and objects,None,Syrian and alleged Russian airstrikes that targeted  the red crescent warehouse and convoy trucks
https://syrianarchive.org/database/26541,ALEPPO : Sukkari,None,None,19/09/2016,Use of illegal weapons,Cluster Munition,Airstrikes that targeted civilian houses with cluster bombs in Al Sukkari neighborhood in Aleppo city
https://syrianarchive.org/database/26214,ALEPPO : Karam al-Jabal,None,None,18/09/2016,Alleged civilian casualties from Russian attacks,None,Russian airstrikes against civilians in Karm-Aljabal in Aleppo
https://syrianarchive.org/database/11682,ALEPPO,None,None,18/09/2016,Other,None,Rescue team are talking about targeting the regime aircraft with missiles districts eastern side of Aleppo.
https://syrianarchive.org/database/26184,HOMS : Talbisah,None,None,17/09/2016,Alleged civilian casualties from Russian attacks,Incendiary Weapons,Russian airstrikes in Homs suburbs with incendiary weapons
https://syrianarchive.org/database/11680,ALEPPO : Ashekh Saeed,None,None,16/09/2016,Violation of children&#39;s rights,None,Casualties two children were shot by the Regime forces who stationed in the neighborhood of Sheikh Saeed south of Aleppo.
https://syrianarchive.org/database/12447,ALEPPO : Al-Jinah,None,None,16/09/2016,Other,None,Russian aviation violates the truce in Al Jeineh village in the western countryside of Aleppo.
https://syrianarchive.org/database/14823,ALEPPO : Al-Jinah,None,None,16/09/2016,Other,None,The bombing and destruction of Al Jeineh town in the western countryside of Aleppo.
https://syrianarchive.org/database/23482,ALEPPO : Al-Jinah,None,None,16/09/2016,Alleged civilian casualties from Russian attacks,None,Warplanes are believed to be Russian attacks Al Jeineh village on the western countryside of Aleppo.
https://syrianarchive.org/database/16709,ALEPPO : Al-Jinah,None,None,16/09/2016,Other,None,Damages caused by Russian bombardment of Al Jeineh town in the western countryside of Aleppo.
https://syrianarchive.org/database/8560,ALEPPO : Al-Jinah,None,None,16/09/2016,Other,None,Airstrikes by warplanes targeting Al Jeineh town.
https://syrianarchive.org/database/11677,ALEPPO : Bustan al-Qasr,None,None,15/09/2016,Unlawful attacks,None,Casualties and wounded by the regime snipers in Al Bustan Palace neighborhood and Zoubdie in Aleppo.
https://syrianarchive.org/database/26129,IDLIB,None,None,13/09/2016,Alleged civilian casualties from Russian attacks,Cluster Munition,Russian airstrike in Idlib with cluster bombs
https://syrianarchive.org/database/18964,ALEPPO,None,None,12/09/2016,Other,None,Russian missile failed to explode contain explosive oils.
https://syrianarchive.org/database/11673,ALEPPO : Maysser,None,None,12/09/2016,Unlawful attacks,None,"Al Maissar neighborhood east of Aleppo, the first day of Eid"
https://syrianarchive.org/database/20412,ALEPPO : Tal msebeen,None,None,12/09/2016,Other,None,Russain airstrike on Tel mseabin town in the northern countryside of Aleppo.
https://syrianarchive.org/database/23434,ALEPPO : Karam al-Qaterji,None,None,12/09/2016,Other,None,Casualties 7 are wounded after shelling with explosive barrels on Alqatrgi neighborhood in Aleppo.
https://syrianarchive.org/database/11674,ALEPPO : Karam al-Qaterji,None,None,12/09/2016,Other,None,Devastation caused by Shelling by helicopters with explosive barrels on Alqatrgi neighborhood.
https://syrianarchive.org/database/23442,HOMS : Umm Sharshuh,None,None,12/09/2016,Unlawful attacks,None,Casualties one child with explosive barrels in the village of Umm Sharshouh in the northern countryside of Homs.
https://syrianarchive.org/database/11672,ALEPPO : Salaheen,None,None,12/09/2016,Other,None,Devastation caused by Airstrike by the regime aircraft.
https://syrianarchive.org/database/20391,ALEPPO : Bab Nayrab,None,None,11/09/2016,Other,None,Demonstrations of the residents after the Russian raids in Bab al-Nairab neighborhood.
https://syrianarchive.org/database/20393,ALEPPO : Salaheen,None,None,11/09/2016,Other,None,Russian bombardment on Al Saliheen neighborhood in Aleppo.
https://syrianarchive.org/database/4898,ALEPPO : Anadan,None,None,11/09/2016,Other,None,Destruction in the homes of civilians as a result of Intensive Russian airstrikes on Anadan city.
https://syrianarchive.org/database/12445,ALEPPO : Salaheen,None,None,11/09/2016,Alleged civilian casualties from Russian attacks,None,Damages in Al Saliheen neighborhood caused by the Russian aviation raids.
https://syrianarchive.org/database/20395,DAMASCUS : Duma,None,None,11/09/2016,Use of illegal weapons,Cluster Munition,The first moment of the cluster bombs attack in Duma
https://syrianarchive.org/database/6782,ALEPPO : Salaheen,None,None,11/09/2016,Unlawful attacks,None,"&quot;Recover a man under the rubble caused by airstrikes targeted Al Saliheen neighborhood in Aleppo.
&quot;"
https://syrianarchive.org/database/20408,ALEPPO : Salaheen,None,None,11/09/2016,Unlawful attacks,None,Recovered civilians from the rubble who were killed by the military bombardment of Al Saliheen neighborhood of Aleppo.
https://syrianarchive.org/database/4897,ALEPPO : Anadan,None,None,11/09/2016,Other,None,People&#39;s opinions about the truce and the feast in Anadan in the northern countryside of Aleppo.
https://syrianarchive.org/database/23430,ALEPPO : Salaheen,None,None,11/09/2016,Unlawful attacks,None,Casualties 4 civilians by Russian airstrikes targeted Al Saliheen neighborhood in Aleppo.
https://syrianarchive.org/database/7600,ALEPPO : Salaheen,None,None,11/09/2016,Unlawful attacks,None,Al saliheen .
https://syrianarchive.org/database/11671,ALEPPO : Salaheen,None,None,11/09/2016,Unlawful attacks,None,Five Casualties and Dozens are injured caused by the Regime airstrikes on Al Saliheen neighborhood.
https://syrianarchive.org/database/7599,ALEPPO : Kafar Naha,None,None,11/09/2016,Unlawful attacks,None,Kafrnaha.
https://syrianarchive.org/database/14803,ALEPPO : Sukkari,None,None,10/09/2016,Other,None,Russian warplanes targeting &quot;abu Ubaidah al jarrah&quot; Mosque in Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/8557,ALEPPO : Batbo,None,None,10/09/2016,Unlawful attacks,None,Recover bodies under the rubble in Batabo town in the western countryside of Aleppo.
https://syrianarchive.org/database/20388,ALEPPO : Batbo,None,None,10/09/2016,Other,None,Damages caused by Russian airstrike targeted &quot;Batabo&quot; town in Aleppo countryside.
https://syrianarchive.org/database/26081,ALEPPO : Batbo,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,"Casualties 9 civilians caused by shelling by Russian aviation in Batabo town.
."
https://syrianarchive.org/database/26084,ALEPPO : Kafar Naha,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,Russian airstrikes causing 4 causalities from the same family
https://syrianarchive.org/database/20383,ALEPPO : Batbo,None,None,10/09/2016,Other,None,Recover civilians from the rubble after the Russian bombardment on Batbo town in Aleppo countryside.
https://syrianarchive.org/database/8556,ALEPPO : Kafar Dael,None,None,10/09/2016,Unlawful attacks,None,"&quot;Recover bodies under the rubble caused by airstrikes targeted Kfar Da’el town.
&quot;"
https://syrianarchive.org/database/20389,ALEPPO : Maysser,None,None,10/09/2016,Other,None,Damages caused by airstrike targeted &quot;al mayssar&quot; neighborhood in Aleppo.
https://syrianarchive.org/database/20382,ALEPPO : Sukkari,None,None,10/09/2016,Unlawful attacks,None,Military strikes on Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/14801,ALEPPO : Kafar Naha,None,None,10/09/2016,Unlawful attacks,None,Airstrike targeting Al Rehal Association in the western countryside of Aleppo
https://syrianarchive.org/database/14807,ALEPPO : Batbo,None,None,10/09/2016,Other,None,Damages caused by airstrike on Batabo town in Aleppo countryside.
https://syrianarchive.org/database/11669,ALEPPO : Kafar Naha,None,None,10/09/2016,Other,None,Airstrike on Kafrnaha town in the westren countryside of Aleppo..
https://syrianarchive.org/database/6976,ALEPPO : Bab Nayrab,None,None,10/09/2016,Other,None,A man calls to unite factions after the shelling reached Nyrab Gate neighborhood and revive Aleppo.
https://syrianarchive.org/database/6977,ALEPPO : Bab Nayrab,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,launching of the warhead of the Russian missile on Nyrab Gate neighborhood.
https://syrianarchive.org/database/6781,ALEPPO : Kalaseh,None,None,10/09/2016,Violation of children&#39;s rights,None,"Child rescued from the rubble by aerial bombing, which targeted &quot;Kallaseh&quot; neighborhood in Aleppo"
https://syrianarchive.org/database/23407,ALEPPO : Salaheen,None,None,10/09/2016,Other,None,"Casualties 7 civilians, including woman and a child by Russian airstrikes targeted Al Salheen  in Aleppo."
https://syrianarchive.org/database/6780,ALEPPO : Salaheen,None,None,10/09/2016,Other,None,Damages caused by airstrike targeted &quot; Al Saliheen&quot; neighborhood in Aleppo.
https://syrianarchive.org/database/11666,ALEPPO : Salaheen,None,None,10/09/2016,Unlawful attacks,None,"First aid to the wounded by aerial bombing, which targeted Al Saliheen neighborhood in Aleppo."
https://syrianarchive.org/database/26083,IDLIB,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,25 casualties as a result of Russian airstrikes that targeted a public market in Idlib
https://syrianarchive.org/database/11663,ALEPPO : Salaheen,None,None,10/09/2016,Other,None,A man cries his wife who was killed in an airstrike in Al Saliheen neighborhood.
https://syrianarchive.org/database/6975,ALEPPO : Maysser,None,None,10/09/2016,Other,None,Damages in Al Maissar neighborhood.
https://syrianarchive.org/database/16665,ALEPPO : Sukkari,None,None,10/09/2016,Other,None,Damages caused by airstrikes that targeted Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/11668,ALEPPO : Batbo,None,None,10/09/2016,Other,None,"Casualties 9 civilians and more than 30 wounded, Damages caused by aerial bombing on Batabo town."
https://syrianarchive.org/database/7595,ALEPPO : Salaheen,None,None,10/09/2016,Unlawful attacks,None,Recover a child from the rubble in Al Saliheen neighborhood.
https://syrianarchive.org/database/7598,ALEPPO : Bustan al-Qasr,None,None,10/09/2016,Unlawful attacks,None,"&quot;Shelling on Bustan al-Qasr neighborhood.
&quot;"
https://syrianarchive.org/database/7597,ALEPPO : Sukkari,None,None,10/09/2016,Unlawful attacks,None,Recover a man alive from the rubble in Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/7596,ALEPPO : Salaheen,None,None,10/09/2016,Unlawful attacks,None,Al saliheen .
https://syrianarchive.org/database/16668,ALEPPO : Batbo,None,None,10/09/2016,Other,None,Damages caused by Russian airstrikes that targeted Grand Mosque of  Batbo town.
https://syrianarchive.org/database/8555,ALEPPO : Kafar Dael,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,Russian aviation bombed Kfar Da’el town in the western countryside of Aleppo.
https://syrianarchive.org/database/23404,ALEPPO : Maysser,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,Casualties caused by the shelling by Russian aircraft with paratrooper missile on al myseer neighborhood of Aleppo.
https://syrianarchive.org/database/11664,ALEPPO : Maysser,None,None,10/09/2016,Other,None,Casualities 3 martyrs and more than 10 injured by an airstrike on Al Maissar neighborhood .
https://syrianarchive.org/database/11665,ALEPPO : Salaheen,None,None,10/09/2016,Other,None,Man crying his devastating house by aerial bombardment of Al Saliheen neighborhood.
https://syrianarchive.org/database/23413,ALEPPO : Kafar Dael,None,None,10/09/2016,Alleged civilian casualties from Russian attacks,None,"Casualties 20 civilians, including women and children by Russian airstrikes targeted Kfar Da&#39;el in Aleppo."
https://syrianarchive.org/database/11667,ALEPPO : Salaheen,None,None,10/09/2016,Unlawful attacks,None,Casualties 7 civilians and 20 wounded by the shelling by the regime aircraft on Al Saliheen neighborhood.
https://syrianarchive.org/database/23414,ALEPPO : Batbo,None,None,10/09/2016,Other,None,Casualties 9 civilians caused by shelling by Russian aviation in Batabo town in the countryside of Aleppo.
https://syrianarchive.org/database/23405,ALEPPO : Mashhad,None,None,10/09/2016,Other,None,Casualties including children caused by raid by the Regime military aircraft on Al Mashhad neighborhood in Aleppo.
https://syrianarchive.org/database/14800,ALEPPO : Kafar Naha,None,None,10/09/2016,Other,None,Damages caused by airstrike on kafrnaha town in the western countryside of Aleppo.
https://syrianarchive.org/database/23397,ALEPPO : Salah al-Din,None,None,09/09/2016,Alleged civilian casualties from Russian attacks,None,Casualties 9 civilians and kids in Salaheddine neighborhood in Aleppo
https://syrianarchive.org/database/4896,ALEPPO : Anadan,None,None,09/09/2016,Other,None,Russian warplanes targeted with stereochemistry missiles in Anadan city in the northern countryside of Aleppo.
https://syrianarchive.org/database/23394,IDLIB : Binnish,None,None,09/09/2016,Use of illegal weapons,Cluster Munition,One family of 7 members got injured after midnight as a result of three Russian airstrikes
https://syrianarchive.org/database/14787,ALEPPO : Babis,None,None,08/09/2016,Other,None,Devastation caused by bombing on Babis town in the countryside of Aleppo.
https://syrianarchive.org/database/14786,ALEPPO : Maret Artiq,None,None,08/09/2016,Other,None,Aerial bombardment in Maarath Alortiq town in Aleppo countryside.
https://syrianarchive.org/database/11661,ALEPPO : Babis,None,None,08/09/2016,Other,None,Devastation caused by bombing by The Regime forces on Babis town.
https://syrianarchive.org/database/11662,ALEPPO : Maret Artiq,None,None,08/09/2016,Other,None,Devastation caused by bombing by The Regime forces on ’Maraat al artik town.
https://syrianarchive.org/database/16650,ALEPPO : Kafar Aleppo,None,None,08/09/2016,Other,None,Devastation by shelling on kafr Aleppo town western countryside of Aleppo which prompting civilians to flee
https://syrianarchive.org/database/23380,IDLIB : Binnish,None,None,08/09/2016,Use of illegal weapons,Cluster Munition,Five injured including four women as a result of the Russian airstrikes with cluster bombs
https://syrianarchive.org/database/8553,ALEPPO : Harithan,None,None,07/09/2016,Other,None,Targeting Hraytan city with Rocket launchers.
https://syrianarchive.org/database/23369,ALEPPO : Sukkari,None,None,07/09/2016,Alleged civilian casualties from Russian attacks,None,Russian aircraft committed a massacre in Sukkari neighborhood in Aleppo causing casualties about 28 people
https://syrianarchive.org/database/6138,ALEPPO : Harithan,None,None,07/09/2016,Other,None,Scenes from the bombing with explosive barrels on the city&#39;s neighborhoods in Hraytan city.
https://syrianarchive.org/database/8552,ALEPPO : Sukkari,None,None,07/09/2016,Other,None,Massacre committed by Al Assad forces in Sukkari neighborhood in besieged Aleppo.
https://syrianarchive.org/database/20366,ALEPPO : Sukkari,None,None,07/09/2016,Other,None,Massive destruction caused by shelling by warplanes in Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/20367,ALEPPO : Sukkari,None,None,07/09/2016,Other,None,Damages caused by shelling Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/7593,ALEPPO : Sukkari,None,None,07/09/2016,Unlawful attacks,None,Al Sukkari massacre.
https://syrianarchive.org/database/11658,ALEPPO : Sukkari,None,None,07/09/2016,Unlawful attacks,None,Casualties children were bombed by military Regime aircraft in the Sukkari neighborhood in Aleppo.
https://syrianarchive.org/database/21816,ALEPPO : Sukkari,None,None,07/09/2016,Use of illegal weapons,None,Dozens of cases suffering from suffocation in Sukkari neighborhood of Aleppo after launching toxic chlorine gas.
https://syrianarchive.org/database/11660,ALEPPO : Sukkari,None,None,07/09/2016,Other,None,"Two children weeping father, who was injured by shelling by military Regime aircraft  on Sukkari neighborhood."
